"","Day","status","Genotype","Treatment","Bacteria","N_worms","MeanWLS","lifespan_type","label_"
"67",8,0,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"68",8,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"69",8,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"70",8,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"71",8,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"72",10,0,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"73",10,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"74",12,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"75",12,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"76",12,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"77",12,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"78",12,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"79",12,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"80",12,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"81",12,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"82",12,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"83",12,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"84",12,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"85",13,0,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"86",13,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"87",13,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"88",13,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"89",13,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"90",13,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"91",13,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"92",14,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"93",14,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"94",14,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"95",14,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"96",14,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"97",16,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"98",16,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"99",16,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"100",16,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"101",16,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"102",16,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"103",16,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"104",16,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"105",16,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"106",16,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"107",16,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"108",16,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"109",16,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"110",17,0,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"111",17,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"112",17,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"113",18,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"114",18,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"115",18,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"116",18,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"117",18,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"118",18,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"119",18,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"120",19,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"121",19,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"122",20,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"123",21,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"124",21,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"125",22,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"126",26,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"127",28,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"128",4,0,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"129",4,0,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"130",4,0,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"131",6,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"132",7,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"133",8,0,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"134",8,0,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"135",8,0,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"136",8,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"137",8,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"138",8,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"139",8,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"140",10,0,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"141",10,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"142",12,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"143",12,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"144",12,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"145",12,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"146",12,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"147",12,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"148",12,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"149",12,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"150",12,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"151",12,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"152",12,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"153",13,0,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"154",13,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"155",13,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"156",13,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"157",13,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"158",13,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"159",13,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"160",14,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"161",14,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"162",14,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"163",14,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"164",14,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"165",16,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"166",16,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"167",16,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"168",16,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"169",16,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"170",16,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"171",16,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"172",16,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"173",16,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"174",16,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"175",16,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"176",16,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"177",16,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"178",17,0,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"179",17,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"180",17,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"181",17,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"182",18,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"183",18,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"184",18,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"185",18,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"186",18,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"187",18,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"188",18,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"189",18,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"190",18,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"191",19,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"192",19,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"193",19,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"194",19,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"195",20,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"196",21,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"197",21,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"198",22,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"199",26,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"200",28,1,"<i>yfg-2</i>","","PAD12",73,15.15625,"","<i>yfg-2</i> +  (15.2, 73)"
"201",4,0,"<i>yfg-1</i>","","PAD12",30,12.12,"","<i>yfg-1</i> +  (12.1, 30)"
"202",4,0,"<i>yfg-1</i>","","PAD12",30,12.12,"","<i>yfg-1</i> +  (12.1, 30)"
"203",4,0,"<i>yfg-1</i>","","PAD12",30,12.12,"","<i>yfg-1</i> +  (12.1, 30)"
"204",6,1,"<i>yfg-1</i>","","PAD12",30,12.12,"","<i>yfg-1</i> +  (12.1, 30)"
"205",7,1,"<i>yfg-1</i>","","PAD12",30,12.12,"","<i>yfg-1</i> +  (12.1, 30)"
"206",10,0,"<i>yfg-1</i>","","PAD12",30,12.12,"","<i>yfg-1</i> +  (12.1, 30)"
"207",10,1,"<i>yfg-1</i>","","PAD12",30,12.12,"","<i>yfg-1</i> +  (12.1, 30)"
"208",12,1,"<i>yfg-1</i>","","PAD12",30,12.12,"","<i>yfg-1</i> +  (12.1, 30)"
"209",12,1,"<i>yfg-1</i>","","PAD12",30,12.12,"","<i>yfg-1</i> +  (12.1, 30)"
"210",12,1,"<i>yfg-1</i>","","PAD12",30,12.12,"","<i>yfg-1</i> +  (12.1, 30)"
"211",12,1,"<i>yfg-1</i>","","PAD12",30,12.12,"","<i>yfg-1</i> +  (12.1, 30)"
"212",12,1,"<i>yfg-1</i>","","PAD12",30,12.12,"","<i>yfg-1</i> +  (12.1, 30)"
"213",12,1,"<i>yfg-1</i>","","PAD12",30,12.12,"","<i>yfg-1</i> +  (12.1, 30)"
"214",12,1,"<i>yfg-1</i>","","PAD12",30,12.12,"","<i>yfg-1</i> +  (12.1, 30)"
"215",12,1,"<i>yfg-1</i>","","PAD12",30,12.12,"","<i>yfg-1</i> +  (12.1, 30)"
"216",12,1,"<i>yfg-1</i>","","PAD12",30,12.12,"","<i>yfg-1</i> +  (12.1, 30)"
"217",12,1,"<i>yfg-1</i>","","PAD12",30,12.12,"","<i>yfg-1</i> +  (12.1, 30)"
"218",12,1,"<i>yfg-1</i>","","PAD12",30,12.12,"","<i>yfg-1</i> +  (12.1, 30)"
